#{"t_start": 1785149368.139254, "env_id": "None"}
r,l,t
-385.160406,52,15.051398
-431.040414,52,15.063457
-331.641691,52,15.075913
-677.591313,52,15.088524
-566.804878,52,15.100949
-269.098013,52,15.112951
-568.733435,52,15.125758
-814.276124,52,15.138179
-312.659113,52,15.15019
-672.570805,52,15.162098
-227.306581,52,15.174242
-212.592464,52,15.186274
-1147.414854,52,15.198288
-500.32372,52,15.210571
-184.787821,52,15.223316
-189.020868,52,15.235598
-198.423204,52,15.24747
-570.212612,52,15.25937
-581.675585,52,15.27223
-538.438036,52,15.284566
-744.951738,52,15.296569
-723.377261,52,15.308694
-420.200973,52,15.321369
-155.046173,52,15.333655
-267.671322,52,15.345479
-234.746669,52,15.357412
-415.206251,52,15.370307
-187.894022,52,15.38225
-369.405169,52,15.39441
-183.04149,52,15.406443
-265.232167,52,15.419166
-579.142005,52,15.431219
-390.358202,52,15.443106
-651.988845,52,15.455058
-510.481892,52,15.467979
