rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/loss,time/episodes,train/n_updates,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,time/fps
-523.03284766,40144,0.001,4.486637115478516,772,10010,0.05,52.0,9,4372
-526.65102357,40352,0.001,4.080663681030273,776,10062,0.05,52.0,9,4371
-522.00286118,40560,0.001,2.432065486907959,780,10114,0.05,52.0,9,4371
-541.61636254,40768,0.001,3.541839361190796,784,10166,0.05,52.0,9,4370
-553.1417365099999,40976,0.001,6.468784809112549,788,10218,0.05,52.0,9,4369
-542.7747197000001,41184,0.001,13.78209400177002,792,10270,0.05,52.0,9,4369
-542.41877082,41392,0.001,8.729219436645508,796,10322,0.05,52.0,9,4368
-538.88932109,41600,0.001,8.199828147888184,800,10374,0.05,52.0,9,4367
-530.6387964300001,41808,0.001,3.970524787902832,804,10426,0.05,52.0,9,4367
-525.7903999600001,42016,0.001,14.36911678314209,808,10478,0.05,52.0,9,4366
-530.73308647,42224,0.001,4.218358039855957,812,10530,0.05,52.0,9,4366
-527.33125272,42432,0.001,4.254937648773193,816,10582,0.05,52.0,9,4365
-519.66252047,42640,0.001,7.438366889953613,820,10634,0.05,52.0,9,4365
-517.6736981500001,42848,0.001,2.585108757019043,824,10686,0.05,52.0,9,4364
-504.76375964999994,43056,0.001,3.115204334259033,828,10738,0.05,52.0,9,4364
-503.00368807,43264,0.001,10.59208869934082,832,10790,0.05,52.0,9,4363
-488.04702382999994,43472,0.001,7.3798604011535645,836,10842,0.05,52.0,9,4363
-499.87715739,43680,0.001,11.845452308654785,840,10894,0.05,52.0,10,4362
-501.4741267099999,43888,0.001,3.4065299034118652,844,10946,0.05,52.0,10,4362
-500.36891153,44096,0.001,9.574434280395508,848,10998,0.05,52.0,10,4361
-485.60675993000007,44304,0.001,4.5099263191223145,852,11050,0.05,52.0,10,4360
-506.2900755699999,44512,0.001,7.732488632202148,856,11102,0.05,52.0,10,4360
-501.80939599,44720,0.001,6.362116813659668,860,11154,0.05,52.0,10,4359
-505.55800148000003,44928,0.001,8.760025978088379,864,11206,0.05,52.0,10,4359
-498.21490794000005,45136,0.001,3.277643918991089,868,11258,0.05,52.0,10,4358
-490.72963382,45344,0.001,4.314354419708252,872,11310,0.05,52.0,10,4358
-491.1008455,45552,0.001,7.154644966125488,876,11362,0.05,52.0,10,4358
-498.52670152999997,45760,0.001,3.5368876457214355,880,11414,0.05,52.0,10,4357
-479.92028571000003,45968,0.001,3.782681941986084,884,11466,0.05,52.0,10,4357
-476.25155874000006,46176,0.001,16.166378021240234,888,11518,0.05,52.0,10,4356
-488.49965171,46384,0.001,10.013975143432617,892,11570,0.05,52.0,10,4356
-491.53039727000004,46592,0.001,7.033835411071777,896,11622,0.05,52.0,10,4355
-490.6923585800001,46800,0.001,9.438800811767578,900,11674,0.05,52.0,10,4355
-491.61221801,47008,0.001,7.5200419425964355,904,11726,0.05,52.0,10,4354
-495.86615245,47216,0.001,3.8156304359436035,908,11778,0.05,52.0,10,4354
-495.15599835,47424,0.001,7.068887710571289,912,11830,0.05,52.0,10,4353
-498.67055954999995,47632,0.001,6.605445384979248,916,11882,0.05,52.0,10,4353
-500.86416517,47840,0.001,2.9946482181549072,920,11934,0.05,52.0,10,4352
-505.89210936999996,48048,0.001,10.4196138381958,924,11986,0.05,52.0,11,4352
-502.40900673,48256,0.001,7.750958442687988,928,12038,0.05,52.0,11,4351
-512.9606741599999,48464,0.001,10.689337730407715,932,12090,0.05,52.0,11,4351
-513.95520175,48672,0.001,3.7742221355438232,936,12142,0.05,52.0,11,4350
-510.89037208999997,48880,0.001,9.076308250427246,940,12194,0.05,52.0,11,4350
-520.96699647,49088,0.001,12.27885627746582,944,12246,0.05,52.0,11,4350
-512.75538669,49296,0.001,9.976296424865723,948,12298,0.05,52.0,11,4349
-513.6718104000001,49504,0.001,5.675420761108398,952,12350,0.05,52.0,11,4349
-497.17444451000006,49712,0.001,12.766874313354492,956,12402,0.05,52.0,11,4348
-488.05403609,49920,0.001,9.311037063598633,960,12454,0.05,52.0,11,4348
-492.98017952000004,50128,0.001,3.526543378829956,964,12506,0.05,52.0,11,4348
-497.10898559000003,50336,0.001,6.297380447387695,968,12558,0.05,52.0,11,4347
-499.08200333999986,50544,0.001,12.62024974822998,972,12610,0.05,52.0,11,4347
-496.6914814199999,50752,0.001,8.555715560913086,976,12662,0.05,52.0,11,4347
-494.79994232999996,50960,0.001,9.415331840515137,980,12714,0.05,52.0,11,4346
-514.05111477,51168,0.001,6.040380954742432,984,12766,0.05,52.0,11,4346
-515.9717578200001,51376,0.001,10.74295425415039,988,12818,0.05,52.0,11,4346
-502.92331101000013,51584,0.001,5.72335147857666,992,12870,0.05,52.0,11,4345
-498.5943212199999,51792,0.001,5.746100902557373,996,12922,0.05,52.0,11,4345
-505.77526778,52000,0.001,4.367018699645996,1000,12974,0.05,52.0,11,4345
-517.3598529299999,52208,0.001,8.835040092468262,1004,13026,0.05,52.0,12,4344
-516.42257714,52416,0.001,8.076425552368164,1008,13078,0.05,52.0,12,4344
-511.9573800200001,52624,0.001,10.379566192626953,1012,13130,0.05,52.0,12,4343
-504.2754718600001,52832,0.001,3.9692420959472656,1016,13182,0.05,52.0,12,4343
-502.9786365900002,53040,0.001,7.355364799499512,1020,13234,0.05,52.0,12,4343
-500.77357824,53248,0.001,9.05693244934082,1024,13286,0.05,52.0,12,4342
-511.23782434000003,53456,0.001,2.2392630577087402,1028,13338,0.05,52.0,12,4342
-508.8774495,53664,0.001,7.53836727142334,1032,13390,0.05,52.0,12,4342
-504.90430256,53872,0.001,9.96229362487793,1036,13442,0.05,52.0,12,4341
-505.47644180000003,54080,0.001,6.446723937988281,1040,13494,0.05,52.0,12,4341
-489.78033502000005,54288,0.001,4.830661296844482,1044,13546,0.05,52.0,12,4340
-487.51623577000015,54496,0.001,8.478408813476562,1048,13598,0.05,52.0,12,4340
-487.0118782100001,54704,0.001,12.212493896484375,1052,13650,0.05,52.0,12,4340
-483.65320252,54912,0.001,6.537710189819336,1056,13702,0.05,52.0,12,4339
-489.86645676999984,55120,0.001,6.697839736938477,1060,13754,0.05,52.0,12,4339
-480.3585915799998,55328,0.001,6.172750949859619,1064,13806,0.05,52.0,12,4339
